original,resolved_form,phrase_type,function,confidence,method,count,strong,morph
ἀρξάμενον,,,Pred,0.85,morph_inference,2,G756,V-AMP-NSN
ἀπήντησεν,,,Pred,0.85,morph_inference,2,G528,V-AAI-3S
ἐγγεγραμμένη,,,Pred,0.85,morph_inference,2,G1449,V-RPP-NSF
Ἁνανία,,NP,,0.85,capital_name,2,G367,N-VSM
ἐκκακοῦμεν,,,Pred,0.85,morph_inference,2,G1573,V-PAI-1P
ἐγκεντρισθήσονται,,,Pred,0.85,morph_inference,2,G1461,V-FPI-3P
Συγχάρητέ,,NP,,0.85,capital_name,2,G4796,V-2ADM-2P
Κορινθίους,,NP,,0.85,capital_name,2,G2881,A-APM
τιμῶσίν,,,Pred,0.85,morph_inference,2,G5091,V-PAS-3P
τῆν,,NP,,0.9,strong_phrase_map,2,G3588,T-ASF
χθὲς,,AdvP,Cmpl,0.85,morph_inference,2,G5504,ADV
φουρτουνάτου,,NP,,0.85,morph_inference,2,G5415,N-GSM
αὖτοῦ,,NP,,0.9,strong_phrase_map,2,G846,P-GSM
τανῦν,,AdvP,Cmpl,0.85,morph_inference,2,G3568,ADV
συνιστώντες,,,Pred,0.85,morph_inference,2,G4921,V-PAP-NPM
ταὐτὴν,,NP,,0.9,strong_phrase_map,2,G3778,D-PRO-ASF
συμβιβαζόμενον,,,Pred,0.85,morph_inference,2,G4822,V-PPP-NSN
συμμαρτυρούσης,,,Pred,0.85,morph_inference,2,G4828,V-PAP-GSF
συζητοῦντες,,,,0.9,strong_phrase_map,2,G4802,V-PAP-NPM
συμπαραλαβεῖν,,,Pred,0.85,morph_inference,2,G4838,V-2AAN
συζητήσεως,,NP,,0.85,morph_inference,2,G4803,N-GSF
συλλαλοῦντες,,,Pred,0.85,morph_inference,2,G4814,V-PAP-NPM
συγκρίνοντες,,,Pred,0.85,morph_inference,2,G4793,V-PAP-NPM
ταὐτὰ,,NP,,0.8,morph_inference,2,G5024,D-PRO-APN
συγχαίρει,,,Pred,0.85,morph_inference,2,G4796,V-PAI-2S
συγκαλεσάμενος,,,Pred,0.85,morph_inference,2,G4779,V-AMP-NSM
ἀφίεμεν,,,Pred,0.85,morph_inference,2,G863,V-PAI-1P
ἄρρενα,,NP,,0.85,morph_inference,2,G730,N-ASM
αὐξάνει,,,Pred,0.85,morph_inference,2,G837,V-PAI-3S
ἀποκτεινόντων,,,Pred,0.85,morph_inference,2,G615,V-PAP-GPM
ἀποθνῄσκωμεν,,,Pred,0.9,strong_phrase_map,2,G599,V-PAS-1P
ἀποθνῄσκομεν,,,Pred,0.9,strong_phrase_map,2,G599,V-PAI-1P
ἀνέπεσον,,,Pred,0.85,morph_inference,2,G377,V-2AAI-3P
ἀπαντῆσαι,,,Pred,0.85,morph_inference,2,G528,V-AAN
ἀνεπίληπτον,,AdjP,,0.75,morph_inference,2,G423,A-ASM
χειροτονηθέντα,,,Pred,0.85,morph_inference,2,G5500,V-APP-ASM
ἐκωλύσαμεν,,,Pred,0.85,morph_inference,2,G2967,V-AAI-1P
ἐκβάλλῃ,,,Pred,0.85,morph_inference,2,G1544,V-PAS-3S
ἐκγαμίσκονται,,,Pred,0.85,morph_inference,2,G1548,V-PPI-3P
ἐκκακεῖν,,,Pred,0.85,morph_inference,2,G1573,V-PAN
Λύδδαν,,NP,,0.85,capital_name,2,G3069,N-ASF
Λευίτης,,NP,,0.85,capital_name,2,G3019,N-NSM
Λευὶν,,NP,,0.85,capital_name,2,G3018,N-ASM
Λαοδικείας,,NP,,0.85,capital_name,2,G2993,N-GSF
συγγενέσιν,,AdjP,,0.75,morph_inference,2,G4773,A-DPM
σαβαχθανι,,NP,,0.85,morph_inference,2,G4518,ARA
αὓτη,,NP,,0.9,strong_phrase_map,2,G846,P-DSF
αὑτῶν,,NP,,0.9,strong_phrase_map,2,G846,P-GPM
στήριξον,,,Pred,0.85,morph_inference,2,G4741,V-AAM-2S
αὑτὸς,,NP,,0.9,strong_phrase_map,2,G846,P-NSM
αὐτῶ,,NP,,0.9,strong_phrase_map,2,G846,P-DSM
βασιλεῦς,,NP,,0.85,morph_inference,2,G935,N-NSM
συγκληρονόμοι,,AdjP,,0.75,morph_inference,2,G4789,A-NPM
στήκητε,,,Pred,0.85,morph_inference,2,G4739,V-PAS-2P
προεφήτευσεν,,,Pred,0.85,morph_inference,2,G4395,V-AAI-3S
βάλλῃ,,,Pred,0.85,morph_inference,2,G906,V-PAS-3S
οὑτὸς,,NP,,0.9,strong_phrase_map,2,G3778,D-PRO-NSM
οὐν,,,,0.9,strong_phrase_map,2,G3767,CONJ
παραληφθήσεται,,,Pred,0.85,morph_inference,2,G3880,V-FPI-3S
οὖ,,,Subj,0.9,strong_phrase_map,2,G3739,PRT
μετανοήσωσιν,,,Pred,0.85,morph_inference,2,G3340,V-AAS-3P
λήψεταί,,,Pred,0.9,strong_phrase_map,2,G2983,V-FDI-3S
μοῦ,,NP,,0.85,morph_inference,2,G3450,P-GS
μὲ,,NP,,0.85,morph_inference,2,G3165,P-AS
κράξαν,,,Pred,0.85,morph_inference,2,G2896,V-AAP-NSN
προσέρρηξεν,,,Pred,0.85,morph_inference,2,G4366,V-AAI-3S
παραθῶσιν,,,Pred,0.85,morph_inference,2,G3908,V-2AAS-3P
παῤ,,PP,Cmpl,0.9,strong_phrase_map,2,G3844,PREP
παρακαταθήκην,,NP,,0.85,morph_inference,2,G3872,N-ASF
βαλάντιον,,NP,,0.85,morph_inference,2,G905,N-ASN
πρόβατά,,NP,,0.85,morph_inference,2,G4263,N-APN
πτῶματα,,NP,,0.85,morph_inference,2,G4430,N-NPN
Ματθίαν,,NP,,0.85,capital_name,2,G3159,N-ASM
Ματθαῖος,,NP,,0.85,capital_name,2,G3156,N-NSM
κομιεῖται,,,Pred,0.85,morph_inference,2,G2865,V-FDI-3S
καίτοιγε,,,,0.85,morph_inference,2,G2544,CONJ
κλινῶν,,NP,,0.85,morph_inference,2,G2825,N-GPF
κλείει,,,Pred,0.85,morph_inference,2,G2808,V-PAI-3S
κοπιᾷ,,,Pred,0.85,morph_inference,2,G2872,V-PAI-3S
γεγένησθε,,,Pred,0.85,morph_inference,2,G1096,V-RPI-2P
θύει,,,Pred,0.85,morph_inference,2,G2380,V-PAI-3S
ζῳοποιοῦν,,,Pred,0.85,morph_inference,2,G2227,V-PAP-NSN
εὐθεὼς,,AdvP,Cmpl,0.9,strong_phrase_map,2,G2112,ADV
ζῆλοι,,NP,,0.85,morph_inference,2,G2205,N-NPM
εἴκοσιτέσσαρες,,AdjP,,0.75,morph_inference,2,G1501,A-NPM
κατασκηνοῦν,,,Pred,0.85,morph_inference,2,G2681,V-PAN
καταβιβασθήσῃ,,,Pred,0.85,morph_inference,2,G2601,V-FPI-2S
Μελχὶ,,NP,,0.85,capital_name,2,G3197,IND
εἴπως,,,,0.8,morph_inference,2,G1513,COND
εἴπων,,,Pred,0.9,strong_phrase_map,2,G2036,V-2AAP-NSM
εἴπεν,,,Pred,0.9,strong_phrase_map,2,G2036,V-2AAI-3S
διασκορπισθήσεται,,,Pred,0.85,morph_inference,2,G1287,V-FPI-3S
δαιμόνων,,NP,,0.85,morph_inference,2,G1142,N-GPM
εἲς,,PP,Cmpl,0.9,strong_phrase_map,2,G1519,A-NSM
εν,,PP,Cmpl,0.9,strong_phrase_map,2,G1722,PREP
εὐδόκησαν,,,Pred,0.85,morph_inference,2,G2106,V-AAI-3P
εἰλικρινείας,,NP,,0.85,morph_inference,2,G1505,N-GSF
διορυγῆναι,,,Pred,0.85,morph_inference,2,G1358,V-2APN
δεκαδύο,,NP,,0.9,morph_inference,2,G1177,IND
διψήσῃ,,,Pred,0.85,morph_inference,2,G1372,V-AAS-3S
Ὠβὴδ,,NP,,0.85,capital_name,2,G5601,IND
ὑψωθεῖσα,,,Pred,0.85,morph_inference,2,G5312,V-APP-NSF
Βοὸζ,,NP,,0.85,capital_name,2,G1003,IND
Βαρσαβᾶν,,NP,,0.85,capital_name,2,G923,N-ASM
ὼς,,AdvP,Cmpl,0.85,morph_inference,1,G5613,ADV
Βαρ,,NP,,0.85,capital_name,1,G920,ARA
Βενιαμὶν,,NP,,0.85,capital_name,1,G958,IND
Βηθαβαρᾶ,,NP,,0.85,capital_name,1,G962,N-DSF
Βηθεσδά,,NP,,0.85,capital_name,1,G964,IND
Βοανεργές,,NP,,0.85,capital_name,1,G993,IND
Βοσόρ,,NP,,0.85,capital_name,1,G1007,IND
Βόοζ,,NP,,0.85,capital_name,1,G1003,IND
Ὑπαγε,,NP,,0.85,capital_name,1,G5217,V-PAM-2S
Εὐαγγελισάμενοί,,NP,,0.85,capital_name,1,G2097,V-AMP-NPM
Εἰσέλθετε,,NP,,0.85,capital_name,1,G1525,V-2AAM-2P
ὑιοῦ,,NP,,0.85,morph_inference,1,G5207,N-GSM
ὑιὸν,,NP,,0.85,morph_inference,1,G5207,N-ASM
ὑιῷ,,NP,,0.85,morph_inference,1,G5207,N-DSM
ὑμας,,NP,,0.85,morph_inference,1,G5209,P-AP
ὑπερβάλλοντα,,,Pred,0.85,morph_inference,1,G5235,V-PAP-ASM
ὑπερεκχυνόμενον,,,Pred,0.85,morph_inference,1,G5240,V-PPP-ASN
Νινευΐ,,NP,,0.85,capital_name,1,G3535,IND
Νινευῖται,,NP,,0.85,capital_name,1,G3536,N-NPM
Νέρωνι,,NP,,0.85,capital_name,1,G3505,N-DSM
Οὗτοὶ,,NP,,0.9,strong_phrase_map,1,G3778,D-PRO-NPM
Πακατιανῆς,,NP,,0.85,capital_name,1,G3818,A-GSF
Πατροβᾶν,,NP,,0.85,capital_name,1,G3969,N-ASM
ὑψηλοφρόνει,,,Pred,0.85,morph_inference,1,G5309,V-PAM-2S
Γαμαλιὴλ,,NP,,0.85,capital_name,1,G1059,IND
Γενησαρέτ,,NP,,0.85,capital_name,1,G1082,IND
Γεργεσηνῶν,,NP,,0.85,capital_name,1,G1086,N-GPM
διεφθάρη,,,Pred,0.85,morph_inference,1,G1311,V-2API-3S
διηγείρετο,,,Pred,0.85,morph_inference,1,G1326,V-IPI-3S
διηρμήνευεν,,,Pred,0.85,morph_inference,1,G1329,V-IAI-3S
δικαιοσυνῃ,,NP,,0.85,morph_inference,1,G1343,N-DSF
δικαιοῦν,,,Pred,0.85,morph_inference,1,G1344,V-PAN
δικαιωθήτω,,,Pred,0.85,morph_inference,1,G1344,V-APM-3S
διἁρπάσαι,,,Pred,0.85,morph_inference,1,G1283,V-AAN
δευτεροπρώτῳ,,AdjP,,0.75,morph_inference,1,G1207,A-DSN
διαδιδώσουσιν,,,Pred,0.85,morph_inference,1,G1239,V-PAI-3P
διακαθᾶριεῖ,,,Pred,0.85,morph_inference,1,G1245,V-FAI-3S
διακρινομένοι,,,Pred,0.85,morph_inference,1,G1252,V-PMP-NPM
διακρίνόμενον,,,Pred,0.85,morph_inference,1,G1252,V-PMP-ASM
διακόνου,,NP,,0.85,morph_inference,1,G1249,N-GSF
διαμερισθήσεται,,,Pred,0.85,morph_inference,1,G1266,V-FPI-3S
διαπαντὸς,,AdvP,Cmpl,0.9,strong_phrase_map,1,G1275,ADV
διαπορεῖσθαι,,,Pred,0.85,morph_inference,1,G1280,V-PPN
δυσεντερίᾳ,,NP,,0.85,morph_inference,1,G1420,N-DSF
δἔδωκεν,,,Pred,0.85,morph_inference,1,G1325,V-RAI-3S
δύνήσῃ,,,Pred,0.85,morph_inference,1,G1410,V-FDI-2S
δώμεν,,,Pred,0.85,morph_inference,1,G1325,V-2AAS-1P
εαυτοῦ,,NP,,0.85,morph_inference,1,G1438,REF-GSM
εαυτόν,,NP,,0.85,morph_inference,1,G1438,REF-ASM
εαὐτοὺς,,NP,,0.85,morph_inference,1,G1438,REF-APM
εις,,AdjP,,0.75,morph_inference,1,G1520,A-NSM
εκάθισεν,,,Pred,0.85,morph_inference,1,G2523,V-AAI-3S
διεγείρουσιν,,,Pred,0.85,morph_inference,1,G1326,V-PAI-3P
διεγνώρισαν,,,Pred,0.85,morph_inference,1,G1232,V-AAI-3P
διεδίδοτο,,,Pred,0.85,morph_inference,1,G1239,V-IPI-3S
διελέχθη,,,Pred,0.85,morph_inference,1,G1256,V-ADI-3S
διεμαρτύρετο,,,Pred,0.85,morph_inference,1,G1263,V-IDI-3S
διεμερίζον,,,Pred,0.85,morph_inference,1,G1266,V-IAI-3P
διερρήγνυτο,,,Pred,0.85,morph_inference,1,G1284,V-IPI-3S
εσπάραξεν,,,Pred,0.85,morph_inference,1,G4682,V-AAI-3S
ετελείωσα,,,Pred,0.85,morph_inference,1,G5048,V-AAI-1S
ετερος,,AdjP,,0.75,morph_inference,1,G2087,A-NSM
εἰδωλείῳ,,NP,,0.85,morph_inference,1,G1493,N-DSN
εἰκοσιπέντε,,NP,,0.9,morph_inference,1,G1501,IND
εἰκῆ,,AdvP,Cmpl,0.85,morph_inference,1,G1500,ADV
εἰληφως,,,Pred,0.9,strong_phrase_map,1,G2983,V-RAP-NSM
εἰλικρινείᾳ,,NP,,0.85,morph_inference,1,G1505,N-DSF
εἰναι,,,Pred,0.85,morph_inference,1,G1511,V-PN
διέλιπεν,,,Pred,0.85,morph_inference,1,G1257,V-2AAI-3S
διώκωμεν,,,Pred,0.85,morph_inference,1,G1377,V-PAS-1P
δοθείη,,,Pred,0.85,morph_inference,1,G1325,V-APO-3S
δοκιμάζοντες,,,Pred,0.85,morph_inference,1,G1381,V-PAP-NPM
δουλεύσωσιν,,,Pred,0.85,morph_inference,1,G1398,V-AAS-3P
δυναμένος,,,Pred,0.85,morph_inference,1,G1410,V-PDP-NSM
δυο,,NP,,0.9,morph_inference,1,G1417,IND
γένεσθε,,,Pred,0.85,morph_inference,1,G1096,V-2ADM-2P
γέννησις,,NP,,0.85,morph_inference,1,G1083,N-NSF
γὴν,,NP,,0.85,morph_inference,1,G1093,N-ASF
γὴς,,NP,,0.85,morph_inference,1,G1093,N-GSF
γήμῃς,,,Pred,0.85,morph_inference,1,G1060,V-AAS-2S
γήρᾳ,,NP,,0.85,morph_inference,1,G1094,N-DSN
δανειστῇ,,NP,,0.85,morph_inference,1,G1157,N-DSM
εἱλισσόμενον,,,Pred,0.85,morph_inference,1,G1507,V-PPP-NSN
εἲς,,AdjP,,0.75,morph_inference,1,G1520,A-NSM
εἴδον,,,Pred,0.85,morph_inference,1,G3708,V-2AAI-1S
εἴης,,,Pred,0.85,morph_inference,1,G1498,V-PO-2S
εἴκοσιν,,AdjP,,0.75,morph_inference,1,G1501,A-NPM
ελωι,,NP,,0.85,morph_inference,1,G1682,ARA
ελάλησα,,,Pred,0.85,morph_inference,1,G2980,V-AAI-1S
εποιήσατε,,,Pred,0.85,morph_inference,1,G4160,V-AAI-2P
εσονται,,,Pred,0.85,morph_inference,1,G2071,V-FI-3P
εἰπόντι,,,Pred,0.9,strong_phrase_map,1,G2036,V-2AAP-DSM
εἰργασάμεθα,,,Pred,0.85,morph_inference,1,G2038,V-ADI-1P
εἰργάζετο,,,Pred,0.85,morph_inference,1,G2038,V-IDI-3S
εἰργάσαντο,,,Pred,0.85,morph_inference,1,G2038,V-ADI-3P
εἰρήκεν,,,Pred,0.85,morph_inference,1,G2046,V-RAI-3S
εἰσεληλύθασιν,,,Pred,0.85,morph_inference,1,G1525,V-2RAI-3P
εἰσελθέτω,,,Pred,0.85,morph_inference,1,G1525,V-2AAM-3S
εἰσεπήδησαν,,,Pred,0.85,morph_inference,1,G1530,V-AAI-3P
εἰσήλθετε,,,Pred,0.85,morph_inference,1,G1525,V-2AAI-2P
διαρρήσσων,,,Pred,0.85,morph_inference,1,G1284,V-PAP-NSM
διασώσωσιν,,,Pred,0.85,morph_inference,1,G1295,V-AAS-3P
