word,strong,count,example_book,example_chapter,example_verse
ὑπερ,G5228,3,2CO,11,5
ὄψει,G3700,3,MAT,27,4
Ἰωσῆ,G2500,3,MAR,6,3
ἱνατί,G2444,3,MAT,27,46
ἐξέδοτο,G1554,3,MAT,21,33
ἐννάτης,G1766,3,MAT,27,45
ἐννενήκονταεννέα,G1768,3,MAT,18,12
ἔλεον,G1656,3,MAT,23,23
ἔρεις,G2054,3,2CO,12,20
Καπερναοὺμ,G2584,3,MAT,4,13
ἰάσωμαι,G2390,3,MAT,13,15
Ἡρῴδῃ,G2264,3,MAT,14,6
Μωσῆν,G3475,3,ACT,6,11
Ἡρῳδιάδος,G2266,3,MAT,14,6
Ἡρῳδιανῶν,G2265,3,MAT,22,16
Πιλάτου,G4091,3,LUK,3,1
Προεφήτευσεν,G4395,3,MAT,15,7
ἐσται,G2071,3,MAR,10,43
πιστεύσῃ,G4100,3,MAR,11,23
Ματθαῖον,G3156,3,MAT,9,9
Μαριά,G3137,3,MAT,27,61
συγκοινωνὸς,G4791,3,ROM,11,17
Λαοδικείᾳ,G2993,3,COL,2,1
εἴχον,G2192,3,JHN,15,22
εἰργάσατο,G2038,3,MAT,25,16
Βενιαμίν,G958,3,ACT,13,21
εἰπον,G2036,3,MAT,16,14
γεννήματος,G1081,3,MAT,26,29
ζῳοποιεῖ,G2227,3,JHN,5,21
νηστείᾳ,G3521,3,MAT,17,21
Μωσεῖ,G3475,3,MAR,9,4
πρᾳότητα,G4236,3,COL,3,12
προσωποληψία,G4382,3,ROM,2,11
οὕς,G3739,3,JHN,13,18
τοῦς,G3588,3,MAT,6,13
ἀρέσει,G700,3,1CO,7,32
Φάρες,G5329,3,MAT,1,3
ἐκπερισσοῦ,G4057,3,EPH,3,20
Κεγχρεαῖς,G2747,3,ACT,18,18
τετραρχοῦντος,G5075,3,LUK,3,1
τετράρχης,G5076,3,MAT,14,1
τὲ,G5037,3,MAT,23,6
Ἰεριχώ,G2410,2,MAR,10,46
Ἠλίου,G2243,2,LUK,1,17
Ἰεροσόλυμα,G2414,2,LUK,2,42
Γεθσημανῆ,G1068,2,MAT,26,36
Ἰσραηλίτης,G2475,2,JHN,1,47
ἐξείλετο,G1807,2,ACT,7,10
ἐριθείαι,G2052,2,2CO,12,20
ἐρράντισεν,G4472,2,HEB,9,19
ἐπιρρίψαντες,G1977,2,LUK,19,35
ἐρευνῶν,G2045,2,ROM,8,27
ἑαὐτῷ,G1438,2,EPH,2,15
Ταβιθά,G5000,2,ACT,9,36
ἐρρήθη,G4483,2,ROM,9,12
ἰδοῦ,G2400,2,MAR,13,23
Θεσσαλονικείς,G2331,2,1TH,5,28
Καισαρείᾳ,G2542,2,ACT,10,1
ἧττον,G2276,2,1CO,11,17
Ἑσρὼμ,G2074,2,MAT,1,3
Ἔλεον,G1656,2,MAT,9,13
Ἐλθε,G2064,2,REV,22,17
Ἐξέλθετε,G1831,2,2CO,6,17
Ἡρῳδιάδα,G2266,2,MAT,14,3
Ἡρῴδην,G2264,2,MAT,2,12
Ἰωάννα,G2489,2,LUK,8,3
Ἰωσῆς,G2500,2,MAT,13,55
Ἱερουσάλημ,G2419,2,ACT,19,21
Ὀνησίμου,G3682,2,COL,4,18
ὑιὸς,G5207,2,MAR,10,47
ῥαββί,G4461,2,MAT,26,25
ἀρξάμενον,G756,2,LUK,24,47
ἀπήντησεν,G528,2,MAT,28,9
ἐγγεγραμμένη,G1449,2,2CO,3,2
Ἁνανία,G367,2,ACT,5,3
ἐκκακοῦμεν,G1573,2,2CO,4,1
ἐγκεντρισθήσονται,G1461,2,ROM,11,23
Συγχάρητέ,G4796,2,LUK,15,6
Κορινθίους,G2881,2,1CO,16,24
τιμῶσίν,G5091,2,JHN,5,23
τῆν,G3588,2,MAT,26,7
χθὲς,G5504,2,ACT,7,28
φουρτουνάτου,G5415,2,1CO,16,17
αὖτοῦ,G846,2,MAT,26,51
τανῦν,G3568,2,ACT,20,32
συνιστώντες,G4921,2,2CO,4,2
ταὐτὴν,G3778,2,HEB,5,3
συμβιβαζόμενον,G4822,2,EPH,4,16
συμμαρτυρούσης,G4828,2,ROM,2,15
συζητοῦντες,G4802,2,MAR,9,10
συμπαραλαβεῖν,G4838,2,ACT,15,37
συζητήσεως,G4803,2,ACT,15,2
συλλαλοῦντες,G4814,2,MAT,17,3
συγκρίνοντες,G4793,2,1CO,2,13
ταὐτὰ,G5024,2,LUK,17,30
συγχαίρει,G4796,2,1CO,12,26
συγκαλεσάμενος,G4779,2,LUK,23,13
ἀφίεμεν,G863,2,MAT,6,12
ἄρρενα,G730,2,REV,12,5
αὐξάνει,G837,2,MAT,6,28
ἀποκτεινόντων,G615,2,MAT,10,28
ἀποθνῄσκωμεν,G599,2,ROM,14,8
ἀποθνῄσκομεν,G599,2,ROM,14,8
ἀνέπεσον,G377,2,MAR,6,40
ἀπαντῆσαι,G528,2,LUK,14,31
ἀνεπίληπτον,G423,2,1TI,3,2
χειροτονηθέντα,G5500,2,2TI,4,22
ἐκωλύσαμεν,G2967,2,MAR,9,38
ἐκβάλλῃ,G1544,2,MAR,7,26
ἐκγαμίσκονται,G1548,2,LUK,20,34
ἐκκακεῖν,G1573,2,LUK,18,1
Λύδδαν,G3069,2,ACT,9,32
Λευίτης,G3019,2,LUK,10,32
Λευὶν,G3018,2,MAR,2,14
Λαοδικείας,G2993,2,COL,4,16
συγγενέσιν,G4773,2,MAR,6,4
σαβαχθανι,G4518,2,MAT,27,46
αὓτη,G846,2,JHN,8,7
αὑτῶν,G846,2,MAR,14,46
στήριξον,G4741,2,LUK,22,32
αὑτὸς,G846,2,MAT,6,4
αὐτῶ,G846,2,MAR,3,7
βασιλεῦς,G935,2,MAT,27,29
συγκληρονόμοι,G4789,2,ROM,8,17
στήκητε,G4739,2,MAR,11,25
προεφήτευσεν,G4395,2,MAR,7,6
βάλλῃ,G906,2,LUK,12,58
οὑτὸς,G3778,2,LUK,20,30
οὐν,G3767,2,MAT,27,22
παραληφθήσεται,G3880,2,LUK,17,34
οὖ,G3739,2,MAR,14,72
μετανοήσωσιν,G3340,2,MAR,6,12
λήψεταί,G2983,2,JAS,1,7
μοῦ,G3450,2,LUK,4,7
μὲ,G3165,2,JHN,6,35
κράξαν,G2896,2,MAR,1,26
προσέρρηξεν,G4366,2,LUK,6,48
παραθῶσιν,G3908,2,MAR,6,41
παῤ,G3844,2,MAT,21,25
παρακαταθήκην,G3872,2,1TI,6,20
βαλάντιον,G905,2,LUK,10,4
πρόβατά,G4263,2,JHN,21,16
πτῶματα,G4430,2,REV,11,8
Ματθίαν,G3159,2,ACT,1,23
Ματθαῖος,G3156,2,MAT,10,3
κομιεῖται,G2865,2,EPH,6,8
καίτοιγε,G2544,2,JHN,4,2
κλινῶν,G2825,2,MAR,7,4
κλείει,G2808,2,REV,3,7
κοπιᾷ,G2872,2,MAT,6,28
γεγένησθε,G1096,2,ACT,7,52
θύει,G2380,2,1CO,10,20
ζῳοποιοῦν,G2227,2,JHN,6,63
εὐθεὼς,G2112,2,MAR,1,20
ζῆλοι,G2205,2,2CO,12,20
εἴκοσιτέσσαρες,G1501,2,REV,5,8
κατασκηνοῦν,G2681,2,MAT,13,32
καταβιβασθήσῃ,G2601,2,MAT,11,23
Μελχὶ,G3197,2,LUK,3,24
εἴπως,G1513,2,ACT,27,12
εἴπων,G2036,2,ACT,24,22
εἴπεν,G2036,2,LUK,22,58
διασκορπισθήσεται,G1287,2,MAT,26,31
δαιμόνων,G1142,2,REV,16,14
εἲς,G1519,2,LUK,4,43
εν,G1722,2,LUK,17,36
εὐδόκησαν,G2106,2,ROM,15,26
εἰλικρινείας,G1505,2,1CO,5,8
διορυγῆναι,G1358,2,MAT,24,43
δεκαδύο,G1177,2,ACT,19,7
διψήσῃ,G1372,2,JHN,4,14
Ὠβὴδ,G5601,2,MAT,1,5
ὑψωθεῖσα,G5312,2,MAT,11,23
Βοὸζ,G1003,2,MAT,1,5
Βαρσαβᾶν,G923,2,ACT,1,23
ὼς,G5613,1,LUK,17,28
Βαρ,G920,1,MAT,16,17
Βενιαμὶν,G958,1,REV,7,8
Βηθαβαρᾶ,G962,1,JHN,1,28
Βηθεσδά,G964,1,JHN,5,2
Βοανεργές,G993,1,MAR,3,17
Βοσόρ,G1007,1,2PE,2,15
Βόοζ,G1003,1,LUK,3,32
Ὑπαγε,G5217,1,LUK,4,8
Εὐαγγελισάμενοί,G2097,1,ACT,14,21
Εἰσέλθετε,G1525,1,MAT,7,13
ὑιοῦ,G5207,1,1JN,5,13
ὑιὸν,G5207,1,ACT,8,37
ὑιῷ,G5207,1,REV,1,13
ὑμας,G5209,1,ROM,15,24
ὑπερβάλλοντα,G5235,1,EPH,2,7
ὑπερεκχυνόμενον,G5240,1,LUK,6,38
Νινευΐ,G3535,1,LUK,11,32
Νινευῖται,G3536,1,MAT,12,41
Νέρωνι,G3505,1,2TI,4,22
Οὗτοὶ,G3778,1,ACT,13,4
Πακατιανῆς,G3818,1,1TI,6,21
Πατροβᾶν,G3969,1,ROM,16,14
ὑψηλοφρόνει,G5309,1,ROM,11,20
Γαμαλιὴλ,G1059,1,ACT,22,3
Γενησαρέτ,G1082,1,MAR,6,53
Γεργεσηνῶν,G1086,1,MAT,8,28
διεφθάρη,G1311,1,REV,8,9
διηγείρετο,G1326,1,JHN,6,18
διηρμήνευεν,G1329,1,LUK,24,27
δικαιοσυνῃ,G1343,1,ROM,9,28
δικαιοῦν,G1344,1,LUK,10,29
δικαιωθήτω,G1344,1,REV,22,11
διἁρπάσαι,G1283,1,MAT,12,29
δευτεροπρώτῳ,G1207,1,LUK,6,1
διαδιδώσουσιν,G1239,1,REV,17,13
διακαθᾶριεῖ,G1245,1,LUK,3,17
διακρινομένοι,G1252,1,JUD,1,22
διακρίνόμενον,G1252,1,ACT,11,12
διακόνου,G1249,1,ROM,16,27
διαμερισθήσεται,G1266,1,LUK,12,53
διαπαντὸς,G1275,1,LUK,24,53
διαπορεῖσθαι,G1280,1,LUK,24,4
δυσεντερίᾳ,G1420,1,ACT,28,8
δἔδωκεν,G1325,1,JHN,13,3
δύνήσῃ,G1410,1,LUK,16,2
δώμεν,G1325,1,MAR,6,37
εαυτοῦ,G1438,1,HEB,1,3
εαυτόν,G1438,1,GAL,5,14
εαὐτοὺς,G1438,1,REV,8,6
εις,G1520,1,LUK,17,36
εκάθισεν,G2523,1,HEB,12,2
διεγείρουσιν,G1326,1,MAR,4,38
διεγνώρισαν,G1232,1,LUK,2,17
διεδίδοτο,G1239,1,ACT,4,35
διελέχθη,G1256,1,ACT,18,19
διεμαρτύρετο,G1263,1,ACT,2,40
διεμερίζον,G1266,1,MAR,15,24
διερρήγνυτο,G1284,1,LUK,5,6
εσπάραξεν,G4682,1,MAR,9,20
ετελείωσα,G5048,1,JHN,17,4
ετερος,G2087,1,LUK,17,36
εἰδωλείῳ,G1493,1,1CO,8,10
εἰκοσιπέντε,G1501,1,JHN,6,19
εἰκῆ,G1500,1,MAT,5,22
εἰληφως,G2983,1,ACT,16,24
εἰλικρινείᾳ,G1505,1,2CO,1,12
εἰναι,G1511,1,MAT,16,13
διέλιπεν,G1257,1,LUK,7,45
διώκωμεν,G1377,1,ROM,14,19
δοθείη,G1325,1,EPH,6,19
δοκιμάζοντες,G1381,1,EPH,5,10
δουλεύσωσιν,G1398,1,ACT,7,7
δυναμένος,G1410,1,ACT,21,34
δυο,G1417,1,LUK,17,36
γένεσθε,G1096,1,1PE,1,16
γέννησις,G1083,1,MAT,1,18
γὴν,G1093,1,ACT,7,11
γὴς,G1093,1,LUK,11,2
γήμῃς,G1060,1,1CO,7,28
γήρᾳ,G1094,1,LUK,1,36
δανειστῇ,G1157,1,LUK,7,41
εἱλισσόμενον,G1507,1,REV,6,14
εἲς,G1520,1,MAT,18,14
εἴδον,G3708,1,REV,4,4
εἴης,G1498,1,REV,3,15
εἴκοσιν,G1501,1,ACT,1,15
ελωι,G1682,1,MAR,15,34
ελάλησα,G2980,1,JHN,18,20
εποιήσατε,G4160,1,MAR,11,17
εσονται,G2071,1,LUK,17,36
εἰπόντι,G2036,1,MAT,12,48
εἰργασάμεθα,G2038,1,2JN,1,8
εἰργάζετο,G2038,1,ACT,18,3
εἰργάσαντο,G2038,1,HEB,11,33
εἰρήκεν,G2046,1,LUK,22,13
εἰσεληλύθασιν,G1525,1,JAS,5,4
εἰσελθέτω,G1525,1,MAR,13,15
εἰσεπήδησαν,G1530,1,ACT,14,14
εἰσήλθετε,G1525,1,LUK,11,52
διαρρήσσων,G1284,1,LUK,8,29
διασώσωσιν,G1295,1,ACT,23,24
διαφανής,G1307,1,REV,21,21
διαφύγοι,G1309,1,ACT,27,42
διδωμι,G1325,1,REV,3,9
γάμησας,G1060,1,MAT,22,25
γέγονασιν,G1096,1,ROM,16,7
εὐχόμαι,G2172,1,2CO,13,7
εὐωδίαν,G2136,1,PHP,4,2
εὐωνύμῶν,G2176,1,MAR,10,37
εὑρεθείς,G2147,1,PHP,2,8
εὑρήσῃς,G2147,1,REV,18,14
εὑρίσκετο,G2147,1,HEB,11,5
εἴπης,G2036,1,MAR,8,26
εἴχε,G2192,1,REV,9,14
εἴχεν,G2192,1,REV,10,2
εἵλετο,G138,1,2TH,2,13
εἶδε,G3708,1,MAT,4,16
εἶπὲ,G2036,1,LUK,7,42
εἶς,G1520,1,MAR,15,36
εὐαγγελίζηται,G2097,1,GAL,1,8
εὐδοκήσαμεν,G2106,1,1TH,3,1
εὐηγγελίσαντο,G2097,1,ACT,8,25
ζήλωσον,G2206,1,REV,3,19
ζήσομεθα,G2198,1,2CO,13,4
ζήσονται,G2198,1,JHN,5,25
ζήτημά,G2213,1,ACT,18,15
ζώσας,G2198,1,REV,7,17
ζῳογονεῖσθαι,G2225,1,ACT,7,19
ζῳογονήσει,G2225,1,LUK,17,33
εὐηρεστηκέναι,G2100,1,HEB,11,5
εὐθείαν,G2117,1,LUK,3,5
εὐθύμοτερον,G2115,1,ACT,24,10
εὐλογειτε,G2127,1,MAT,5,44
εὐλογήσῃς,G2127,1,1CO,14,16
εὐπρόσεδρον,G2145,1,1CO,7,35
εὐφρανθήσονται,G2165,1,REV,11,10
εὐφράνθη,G2165,1,ACT,2,26
εὐχαρίστησαν,G2168,1,ROM,1,21
ηλι,G2241,1,MAT,27,46
ημῶν,G2257,1,HEB,1,3
ηὐλόγει,G2127,1,MAR,10,16
ηὐπορεῖτό,G2141,1,ACT,11,29
θαλάσσαν,G2281,1,MAT,14,26
θαμβῶν,G2284,1,ACT,9,6
θαυμάσονται,G2296,1,REV,17,8
θεμελιώσαι,G2311,1,1PE,5,10
εὔνοιαν,G2133,1,1CO,7,3
εὔχεσθε,G2172,1,JAS,5,16
εὗροντες,G2147,1,MAR,1,37
εὶς,G1519,1,MAT,18,29
εῖπεν,G2036,1,MAT,8,22
εῖπον,G2036,1,ACT,19,2
ζημιωθῃ,G2210,1,MAR,8,36
ζητοὺντες,G2212,1,LUK,11,54
θρόνοῦ,G2362,1,REV,5,13
θρῆνος,G2355,1,MAT,2,18
θυγατερα,G2364,1,MAR,7,30
θυγατρί,G2364,1,LUK,12,53
θέλωσιν,G2309,1,ACT,26,5
καίτοιγε,G2544,1,ACT,14,17
καθαρίζον,G2511,1,MAR,7,19
καθηγητής,G2519,1,MAT,23,8
καθιστῶντες,G2525,1,ACT,17,15
καθίσεσθε,G2523,1,MAT,19,28
ζῳοποιεῖται,G2227,1,1CO,15,36
ζῳοποιηθεὶς,G2227,1,1PE,3,18
ζῳοποιηθήσονται,G2227,1,1CO,15,22
ζῳοποιοῦντος,G2227,1,ROM,4,17
ζῳοποιήσει,G2227,1,ROM,8,11
ζῳοποιῆσαι,G2227,1,GAL,3,21
κακοποιων,G2555,1,1PE,3,16
κακὸποιός,G2555,1,JHN,18,30
καταβαινέτω,G2597,1,MAT,24,17
καταδουλώσωνται,G2615,1,GAL,2,4
κατακολουθήσασα,G2628,1,ACT,16,17
κατακριθῆτε,G2632,1,JAS,5,9
καταλαβόμενος,G2638,1,ACT,25,25
καταλαλῶσιν,G2635,1,1PE,3,16
καταλίποντες,G2641,1,2PE,2,15
καταμόνας,G2651,1,MAR,4,10
καταναθεματίζειν,G2653,1,MAT,26,74
θεομαχωμεν,G2313,1,ACT,23,9
θεωροῦντι,G2334,1,ACT,17,16
θεωρήσωσιν,G2334,1,JHN,7,3
θεὰν,G2299,1,ACT,19,37
θηριῷ,G2342,1,REV,20,4
γεγραμμένη,G1125,1,LUK,23,38
γενεσίων,G1077,1,MAT,14,6
γενήματά,G1081,1,LUK,12,18
γεύσεται,G1089,1,JHN,8,52
γεύσονται,G1089,1,LUK,9,27
γινέσθαι,G1096,1,REV,1,19
κατελήφθην,G2638,1,PHP,3,12
κατεργάσασθαι,G2716,1,1PE,4,3
κατεσκαμμένα,G2679,1,ACT,15,16
κατείληφθη,G2638,1,JHN,8,4
Λύδδης,G3069,1,ACT,9,38
Μαγδαλά,G3093,1,MAT,15,39
καθίσησθε,G2523,1,LUK,22,30
καθῆκον,G2520,1,ACT,22,22
καιομένην,G2545,1,REV,19,20
καιροί,G2540,1,ACT,3,19
καταξιωθῆτε,G2661,1,LUK,21,36
καταπατήσωσιν,G2662,1,MAT,7,6
καταπίῃ,G2666,1,1PE,5,8
κατατοξευθήσεται,G2700,1,HEB,12,20
καταφθαρήσονται,G2704,1,2PE,2,12
κατεδίωξάν,G2614,1,MAR,1,36
κατειχετο,G2722,1,JHN,5,4
κατεκληροδότησεν,G2624,1,ACT,13,19
δανείζετε,G1155,1,LUK,6,35
δανείζητε,G1155,1,LUK,6,34
δανείζουσιν,G1155,1,LUK,6,34
δανείσασθαι,G1155,1,MAT,5,42
δαίμονος,G1142,1,LUK,8,29
δεκα,G1176,1,LUK,13,4
γεγενημένα,G1080,1,2PE,2,12
γεγεννήμεθα,G1080,1,JHN,8,41
καὶπερ,G2539,1,REV,17,8
κειμένος,G2749,1,JHN,11,41
κεκαθαρμένους,G2508,1,HEB,10,2
κεκαυτηριασμένων,G2743,1,1TI,4,2
κεκοπίακας,G2872,1,REV,2,3
Μαριὰ,G3137,1,MAT,28,1
Μαριᾴ,G3137,1,ACT,1,14
Μαρίαμ,G3137,1,ROM,16,6
Ματθὰν,G3157,1,MAT,1,15
Ματθάν,G3157,1,MAT,1,15
Μαϊνάν,G3104,1,LUK,3,31
Μεθ᾽,G3326,1,MAT,1,23
Μελχισεδέκ,G3198,1,HEB,7,21
κατηγορῆσαι,G2723,1,ACT,28,19
κατορθωμάτων,G2735,1,ACT,24,2
κατανάθεμα,G2652,1,REV,22,3
κλαύσονται,G2799,1,REV,18,9
κληρονομήσῃ,G2816,1,GAL,4,30
κλητοί,G2822,1,MAT,20,16
κλώμενον,G2806,1,1CO,11,24
κοινοῦν,G2840,1,REV,21,27
κολακείας,G2850,1,1TH,2,5
κατἐβλήθη,G2598,1,REV,12,10
κατἐργάζεται,G2716,1,2CO,7,10
κατὰμόνας,G2651,1,LUK,9,18
κατάβα,G2597,1,MAR,15,30
κατάλειμμα,G2640,1,ROM,9,27
κατέλιπόν,G2641,1,TIT,1,5
κατένωπιον,G2714,1,2CO,12,19
κατέστησας,G2525,1,HEB,2,7
κατήγορος,G2725,1,REV,12,10
καυθήσωμαι,G2545,1,1CO,13,3
κραζόντων,G2896,1,ACT,19,34
κριθῆς,G2915,1,REV,6,6
κρυπτόν,G2927,1,LUK,11,33
κράζοντα,G2896,1,LUK,4,41
κρέμανται,G2910,1,MAT,22,40
κτήσασθε,G2932,1,LUK,21,19
κυβείᾳ,G2940,1,EPH,4,14
κυλλόν,G2948,1,MAT,18,8
κἀκείνοις,G2548,1,MAT,20,4
κεκράξονται,G2896,1,LUK,19,40
κενώσῃ,G2758,1,1CO,9,15
κερδηθήσωνται,G2770,1,1PE,3,1
κερδήσωμεν,G2770,1,JAS,4,13
κηρίου,G2781,1,LUK,24,42
κηρύξουσιν,G2784,1,ROM,10,15
κινάμωμον,G2792,1,REV,18,13
κύκλοθεν,G2943,1,REV,5,11
κώμῃ,G2968,1,MAR,8,26
λαλεῖται,G2980,1,HEB,11,4
λαλοῦσα,G2980,1,REV,10,8
λαλήσαντος,G2980,1,ACT,23,7
λαλήσετε,G2980,1,MAT,10,19
λαλήσωσιν,G2980,1,MAT,12,36
λαμβανέτω,G2983,1,REV,22,17
λαμμᾶ,G2982,1,MAR,15,34
λαμπρὸς,G2986,1,REV,22,16
λεγεῶνα,G3003,1,MAR,5,15
κομιούμενοι,G2865,1,2PE,2,13
κοῦμι,G2891,1,MAR,5,41
κραββάτοις,G2895,1,MAR,6,55
κραββάτω,G2895,1,ACT,9,33
κραββάτων,G2895,1,ACT,5,15
λεῖμμα,G3005,1,ROM,11,5
ληψόμεθα,G2983,1,JAS,3,1
λιθοβολήσαντες,G3036,1,MAR,12,4
λογισμούς,G3053,1,2CO,10,5
λογὸν,G3056,1,JHN,19,13
λοιμοί,G3061,1,MAT,24,7
λούσαντι,G3068,1,REV,1,5
λάμψαι,G2989,1,2CO,4,6
λὲγει,G3004,1,MAR,10,51
λὲγω,G3004,1,JHN,8,26
λέγεῖ,G3004,1,MAR,11,23
κέκμηκας,G2577,1,REV,2,3
κέρμα,G2772,1,JHN,2,15
κόκκινῳ,G2847,1,REV,17,4
κόπριαν,G2874,1,LUK,13,8
κὺλισμα,G2946,1,2PE,2,22
λὶθος,G3037,1,MAR,9,42
λίθῷ,G3037,1,MAR,13,2
μαγείαις,G3095,1,ACT,8,11
μαμμωνᾷ,G3126,1,MAT,6,24
μαρτυρούμενοι,G3140,1,1TH,2,11
μεγαλειότητα,G3168,1,ACT,19,27
μεγάλαυχεῖ,G3166,1,JAS,3,5
μεγάλεῖα,G3167,1,LUK,1,49
μεθιστάνειν,G3179,1,1CO,13,2
μεθοδείαν,G3180,1,EPH,4,14
μεθοδείας,G3180,1,EPH,6,11
λεγεῶνας,G3003,1,MAT,26,53
λεγόντας,G3004,1,REV,19,6
λεγόντος,G3004,1,REV,19,1
λελουμένοι,G3068,1,HEB,10,22
λευκῇ,G3022,1,ACT,1,10
μελλείν,G3195,1,ACT,23,30
μεμερίσται,G3307,1,MAR,3,26
μεμιασμένοις,G3392,1,TIT,1,15
μεμνηστευμένην,G3423,1,LUK,1,27
μεμνηστευμένῃ,G3423,1,LUK,2,5
μεν,G3303,1,HEB,6,16
μεταβαλλόμενοι,G3328,1,ACT,28,6
μεταστραφήτω,G3344,1,JAS,4,9
μετενόησεν,G3340,1,REV,2,21
μετά,G3326,1,1PE,3,15
μετάληψιν,G3336,1,1TI,4,3
μεὶναντες,G3306,1,ACT,20,15
λέγεῖν,G3004,1,MAR,12,1
λέγοντων,G3004,1,LUK,8,20
λήψεως,G3028,1,PHP,4,15
λὶθον,G3037,1,LUK,11,11
βλασφημούμενοι,G987,1,1CO,4,13
βλασφημὶας,G988,1,MAR,2,7
βλεπόντες,G991,1,REV,17,8
βλάψει,G984,1,MAR,16,18
βλέψουσιν,G991,1,REV,11,9
βολίδι,G1002,1,HEB,12,20
βοσκομένων,G1006,1,LUK,8,32
βουλευόμενος,G1011,1,2CO,1,17
βουλεύεται,G1011,1,LUK,14,31
μάρτυρεῖτε,G3140,1,LUK,11,48
μὲλλει,G3195,1,REV,3,2
μέγαλην,G3173,1,REV,14,19
μέλλοντές,G3195,1,ACT,23,20
μεθόρια,G3181,1,MAR,7,24
μελετᾶτε,G3191,1,MAR,13,11
μελισσίου,G3193,1,LUK,24,42
μη,G3361,1,COL,2,4
μητραλῴαις,G3389,1,1TI,1,9
μητρόπολις,G3390,1,1TI,6,21
μητὲ,G3383,1,2TH,2,2
μισοῦντας,G3404,1,MAT,5,44
